Year,Winner,Country,Time,Distance (Miles),Distance (KM)
1937,Walter Young,Canada,02:33:20,26.2,42.2
1938,Les Pawson,United States,02:35:34,26.2,42.2
1939,Ellison Brown,United States,02:28:51,26.2,42.2
1940,Gérard Côté,Canada,02:28:28,26.2,42.2
1941,Les Pawson,United States,02:30:38,26.2,42.2
1942,Joe Smith,United States,02:26:51,26.2,42.2
1943,Gérard Côté,Canada,02:28:25,26.2,42.2
1944,Gérard Côté,Canada,02:31:50,26.2,42.2
1945,Johnny Kelley,United States,02:30:40,26.2,42.2
1946,Stylianos Kyriakides,Greece,02:29:27,26.2,42.2
1947,Suh Yun-bok,South Korea,02:25:39,26.2,42.2
1948,Gérard Côté,Canada,02:31:02,26.2,42.2
1949,Gösta Leandersson,Sweden,02:31:50,26.2,42.2
1950,Ham Kee-yong,South Korea,02:32:39,26.2,42.2
1951,Shigeki Tanaka,Japan,02:27:45,25.7,41.4
1952,Mateo Flores,Guatemala,02:31:53,25.7,41.4
1953,Keizo Yamada,Japan,02:18:51,25.7,41.4
1954,Veikko Karvonen,Finland,02:20:39,25.7,41.4
1955,Hideo Hamamura,Japan,02:18:22,25.7,41.4
1956,Antti Viskari,Finland,02:14:14,25.7,41.4
1957,John J. Kelley,United States,02:20:05,26.2,42.2
1958,Franjo Mihalic,Yugoslavia,02:25:54,26.2,42.2
1959,Eino Oksanen,Finland,02:22:42,26.2,42.2
1960,Paavo Kotila,Finland,02:20:54,26.2,42.2
1961,Eino Oksanen,Finland,02:23:39,26.2,42.2
1962,Eino Oksanen,Finland,02:23:48,26.2,42.2
1963,Aurèle Vandendriessche,Belgium,02:18:58,26.2,42.2
1964,Aurèle Vandendriessche,Belgium,02:19:59,26.2,42.2
1965,Morio Shigematsu,Japan,02:16:33,26.2,42.2
1966,Kenji Kimihara,Japan,02:17:11,26.2,42.2
1967,Dave McKenzie,New Zealand,02:15:45,26.2,42.2
1968,Amby Burfoot,United States,02:22:17,26.2,42.2
1969,Yoshiaki Unetani,Japan,02:13:49,26.2,42.2
1970,Ron Hill,United Kingdom,02:10:30,26.2,42.2
1971,Álvaro Mejía,Colombia,02:18:45,26.2,42.2
1972,Olavi Suomalainen,Finland,02:15:39,26.2,42.2
1973,Jon Anderson,United States,02:16:03,26.2,42.2
1974,Neil Cusack,Ireland,02:13:39,26.2,42.2
1975,Bill Rodgers,United States,02:09:55,26.2,42.2
1976,Jack Fultz,United States,02:20:19,26.2,42.2
1977,Jerome Drayton,Canada,02:14:46,26.2,42.2
1978,Bill Rodgers,United States,02:10:13,26.2,42.2
1979,Bill Rodgers,United States,02:09:27,26.2,42.2
1980,Bill Rodgers,United States,02:12:11,26.2,42.2
1981,Toshihiko Seko,Japan,02:09:26,26.2,42.2
1982,Alberto Salazar,United States,02:08:52,26.2,42.2
1983,Greg Meyer,United States,02:09:00,26.2,42.2
1984,Geoff Smith,United Kingdom,02:10:34,26.2,42.2
1985,Geoff Smith,United Kingdom,02:14:05,26.2,42.2
1986,Robert de Castella,Australia,02:07:51,26.2,42.2
1987,Toshihiko Seko,Japan,02:11:50,26.2,42.2
1988,Ibrahim Hussein,Kenya,02:08:43,26.2,42.2
1989,Abebe Mekonnen,Ethiopia,02:09:06,26.2,42.2
1990,Gelindo Bordin,Italy,02:08:19,26.2,42.2
1991,Ibrahim Hussein,Kenya,02:11:06,26.2,42.2
1992,Ibrahim Hussein,Kenya,02:08:14,26.2,42.2
1993,Cosmas Ndeti,Kenya,02:09:33,26.2,42.2
1994,Cosmas Ndeti,Kenya,02:07:15,26.2,42.2
1995,Cosmas Ndeti,Kenya,02:09:22,26.2,42.2
1996,Moses Tanui,Kenya,02:09:15,26.2,42.2
1997,Lameck Aguta,Kenya,02:10:34,26.2,42.2
1998,Moses Tanui,Kenya,02:07:34,26.2,42.2
1999,Joseph Chebet,Kenya,02:09:52,26.2,42.2
2000,Elijah Lagat,Kenya,02:09:47,26.2,42.2
2001,Lee Bong-ju,South Korea,02:09:43,26.2,42.2
2002,Rodgers Rop,Kenya,02:09:02,26.2,42.2
2003,Robert Kipkoech Cheruiyot,Kenya,02:10:11,26.2,42.2
2004,Timothy Cherigat,Kenya,02:10:37,26.2,42.2
2005,Hailu Negussie,Ethiopia,02:11:44,26.2,42.2
2006,Robert Kipkoech Cheruiyot,Kenya,02:07:14,26.2,42.2
2007,Robert Kipkoech Cheruiyot,Kenya,02:14:13,26.2,42.2
2008,Robert Kipkoech Cheruiyot,Kenya,02:07:45,26.2,42.2
2009,Deriba Merga,Ethiopia,02:08:42,26.2,42.2
2010,Robert Kiprono Cheruiyot,Kenya,02:05:52,26.2,42.2
2011,Geoffrey Mutai,Kenya,02:03:02,26.2,42.2
2012,Wesley Korir,Kenya,02:12:40,26.2,42.2
2013,Lelisa Desisa,Ethiopia,02:10:22,26.2,42.2
2014,Meb Keflezighi,United States,02:08:37,26.2,42.2
2015,Lelisa Desisa,Ethiopia,02:09:17,26.2,42.2
2016,Lemi Berhanu Hayle,Ethiopia,02:12:45,26.2,42.2
2017,Geoffrey Kirui,Kenya,02:09:37,26.2,42.2
2018,Yuki Kawauchi,Japan,02:15:58,26.2,42.2
2019,Lawrence Cherono,Kenya,02:07:57,26.2,42.2
,,,,,
2021,Benson Kipruto,Kenya,02:09:51,26.2,42.2
2022,Evans Chebet,Kenya,02:06:51,26.2,42.2
